id,host_id,neighbourhood_cleansed,room_type,minimum_nights,review_scores_rating
1239328,6752398,BOVISA,Entire home/apt,30,4.86
1701780,8663878,NAVIGLI,Entire home/apt,2,4.87
1251238,3400806,LORETO,Entire home/apt,2,4.09
1710699,9024612,VIALE MONZA,Entire home/apt,1,4.82
1252085,5637510,XXII MARZO,Entire home/apt,3,4.46
1716501,4789702,PADOVA,Entire home/apt,2,4.83
1258433,6853938,GHISOLFA,Entire home/apt,3,5.0
1258803,4138802,BUENOS AIRES - VENEZIA,Entire home/apt,1,4.93
1723087,8000700,BOVISA,Entire home/apt,5,4.43
1261284,2057519,MAGENTA - S. VITTORE,Entire home/apt,3,5.0
1725191,9093101,UMBRIA - MOLISE,Entire home/apt,3,4.84
1263067,6877393,BRERA,Entire home/apt,2,5.0
1272777,6927405,GUASTALLA,Private room,4,4.75
1734055,9134504,SARPI,Entire home/apt,3,4.55
1277709,6953976,TICINESE,Entire home/apt,3,5.0
1285834,6995350,GRECO,Entire home/apt,2,4.5
1734725,1675802,BUENOS AIRES - VENEZIA,Entire home/apt,2,4.83
1289847,7013437,NAVIGLI,Entire home/apt,1,4.83
1295607,3574657,PORTA ROMANA,Entire home/apt,21,4.8
1739580,9159708,DUOMO,Private room,3,4.94
1298488,3234827,NAVIGLI,Entire home/apt,30,5.0
1747061,9194580,VIGENTINA,Private room,1,4.86
1299572,4417813,XXII MARZO,Entire home/apt,1,4.54
1310185,7122099,STADERA,Entire home/apt,4,5.0
1757295,9223003,RIPAMONTI,Entire home/apt,2,4.75
1312079,5363359,LORETO,Entire home/apt,90,4.61
1762991,7791109,CITTA' STUDI,Entire home/apt,2,4.76
1314504,5545830,GHISOLFA,Entire home/apt,3,4.81
1330125,5416680,DERGANO,Entire home/apt,2,4.93
1779952,9343893,PORTA ROMANA,Entire home/apt,3,4.77
1332040,7013437,NAVIGLI,Entire home/apt,1,4.84
1346155,7301657,GUASTALLA,Entire home/apt,10,4.67
1780385,2030262,ORTOMERCATO,Entire home/apt,4,4.77
1349317,7320849,BUENOS AIRES - VENEZIA,Entire home/apt,30,4.92
1791898,9401363,XXII MARZO,Entire home/apt,2,4.53
1360595,1138719,VIGENTINA,Entire home/apt,7,4.9
1795005,3374385,QUARTO CAGNINO,Entire home/apt,1,5.0
1364714,7407740,BUENOS AIRES - VENEZIA,Entire home/apt,5,4.86
1798842,5823014,BANDE NERE,Entire home/apt,1,4.85
1801571,9441878,MAGENTA - S. VITTORE,Entire home/apt,3,4.88
1367209,5867029,GRECO,Entire home/apt,4,
1805675,2578744,VILLAPIZZONE,Entire home/apt,2,4.86
1372470,2848811,LORETO,Entire home/apt,15,4.3
1374831,6296771,TORTONA,Entire home/apt,3,
1816945,1561186,BRERA,Entire home/apt,1,4.6
1375952,4965797,TORTONA,Entire home/apt,1,4.5
1833274,7122099,STADERA,Private room,4,4.9
1379640,7472617,NAVIGLI,Entire home/apt,2,4.99
1835589,9596837,GRECO,Entire home/apt,2,4.5
1837947,5363359,LORETO,Entire home/apt,90,4.6
1395291,7540261,SARPI,Entire home/apt,6,4.42
1841882,253581459,PORTA ROMANA,Private room,2,4.9
1427356,7676789,BUENOS AIRES - VENEZIA,Entire home/apt,2,4.84
1847245,6910581,BRERA,Entire home/apt,15,4.24
1439927,5430269,PORTA ROMANA,Entire home/apt,5,4.75
1448128,7772596,MAGENTA - S. VITTORE,Entire home/apt,60,5.0
1453623,6020733,NAVIGLI,Private room,8,4.57
1862289,2880078,GALLARATESE,Private room,1,4.25
1864493,462430,SARPI,Entire home/apt,2,4.96
1453656,6973311,BRERA,Entire home/apt,2,4.62
1464907,7529212,DERGANO,Entire home/apt,6,4.95
1468775,1250322,RONCHETTO SUL NAVIGLIO,Entire home/apt,2,4.72
1873077,685397,GHISOLFA,Private room,2,4.97
1877743,9779309,S. CRISTOFORO,Entire home/apt,2,4.6
1475129,1603690,SARPI,Entire home/apt,2,4.83
1479365,5489486,RONCHETTO SUL NAVIGLIO,Entire home/apt,2,4.7
1878936,9783834,PORTA ROMANA,Entire home/apt,60,5.0
1482235,6714207,DUOMO,Entire home/apt,1,4.64
1485286,2977146,TICINESE,Entire home/apt,31,4.7
1504025,8035854,LORETO,Entire home/apt,2,4.42
1879366,3885388,STADERA,Entire home/apt,2,4.74
